Word,Count
the,7245
*,6018
/,3836
to,2631
of,1949
a,1904
is,1843
,1747
in,1568
---------------------------------------------------------------------------,1555
and,1443
for,1319
License,1300
be,1222
or,1208
not,1165
this,1150
-,996
software,972
Method:,931
The,918
under,787
use,745
may,732
you,712
if,711
an,700
by,596
file,579
This,555
with,552
must,527
distributed,520
any,509
on,493
=,463
it,436
as,434
from,414
at,408
Copyright,394
that,389
required,376
express,361
implied,360
See,357
will,349
data,349
----------------------------------------------------------------------------,344
**,338
specific,332
OR,323
OF,317
You,310
Parameters:,301
copy,296
are,293
either,284
A,284
ANY,284
language,283
string,282
(the,276
Version,273
except,270
WARRANTIES,269
number,268
WITHOUT,267
\KIND,\,267
\"\AS\,267
\writing,\,263
compliance,262
applicable,262
law,262
McNab,261
Paul,261
If,261
2.0,261
Michael,261
Get,260
2014,260
\BASIS,\,260
CONDITIONS,260
\"\License"\);\,260
\IS"\\,260
obtain,260
http://www.apache.org/licenses/LICENSE-2.0,260
permissions,260
agreed,260
Unless,260
\License,\,260
Licensed,260
governing,260
Apache,260
limitations,260
all,254
source,250
value,250
used,247
can,215
original,208
but,206
1,205
window,203
Set,200
+,191
no,184
function,178
size,177
point,175
origin,168
when,168
Returns,167
current,164
body,162
type,160
In,158
name,157
being,153
list,152
0,152
Ctor,147
provided,147
without,146
event,145
/<,144
class,144
node,143
Dtor,142
{,142
return,138
only,138
Sets,137
state,136
error,136
joint,135
2,135
Notes:,134
set,134
position,133
following,132
File:,132
output,132
would,131
coordinate,130
stream,129
buffer,128
Function:,128
},126
code,124
3,123
should,123
notice,122
was,122
has,121
including,118
sound,118
header,118
method,117
call,117
contact,116
have,116
input,115
removed,114
subject,113
held,113
documentation,112
Create,112
bits,112
distribution,111
versions,111
product,111
time,110
pointer,109
returns,108
Permission,107
system,107
we,106
Gets,105
(c),105
authors,104
called,104
marked,103
Class:,103
alter,102
more,102
\such,\,102
\applications,\,102
Returns:,101
liable,100
warranty,100
damages,100
\purpose,\,100
commercial,100
misrepresented,100
restrictions:,100
granted,100
claim,100
anyone,100
\product,\,100
acknowledgment,100
altered,100
plainly,100
\freely,\,100
wrote,100
misrepresented;,100
Altered,100
redistribute,100
appreciated,100
arising,100
\'as-is',\,100
length,99
game,99
which,98
then,98
using,95
text,95
message,95
world,94
so,93
Catto,93
Erin,93
new,92
bytes,91
sprite,91
gzip,90
local,90
one,89
application,89
functions,88
http://www.box2d.org,88
compression,87
than,87
null,87
index,87
into,85
first,81
mass,80
vector,80
character,80
true,79
version,78
memory,78
two,78
end,77
//,77
@param,76
there,76
been,76
provider,75
default,74
save,74
Update,74
next,74
other,72
Determines,71
C,71
Draws,71
after,71
Find,70
effect,70
maximum,69
start,68
its,68
up,68
height,67
given,67
Is,67
width,66
need,66
bit,65
points,65
does,65
pool,64
values,63
frame,63
song,63
specified,63
deflate,61
some,61
For,61
anchor,61
zero,61
child,60
last,60
case,60
Stops,59
before,59
format,59
Check,58
THE,58
Also:,57
@def,57
constraint,57
x,57
Creates,57
step,56
B,56
information,56
block,56
------------------------------------------------------------------------,55
velocity,55
animation,55
shape,54
Constructor,54
--,54
user,53
rectangle,53
space,53
change,53
get,52
Compute,52
