File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\engine\proteus\source\prConfig.h,171,79,1,0,42,21,50,313,15,98
D:\engine\proteus\source\proteus.h,207,159,0,0,19,2,29,129,15,98
D:\engine\proteus\source\prVerNum.h,2,1,0,0,1,0,0,0,0,0
D:\engine\proteus\source\achievements\prAchievementManager.cpp,1297,537,299,62,185,3,575,1391,18,102
D:\engine\proteus\source\achievements\prAchievement_android.cpp,65,21,9,3,15,0,29,139,18,102
D:\engine\proteus\source\achievements\prAchievement_bada.cpp,61,19,9,2,15,1,27,128,18,102
D:\engine\proteus\source\achievements\prAchievement_ios.cpp,98,26,11,4,23,0,49,173,18,102
D:\engine\proteus\source\achievements\prAchievement_linux.cpp,65,21,9,3,16,0,28,137,18,102
D:\engine\proteus\source\achievements\prAchievement_pc.cpp,54,18,10,2,9,0,27,136,18,102
D:\engine\proteus\source\achievements\prLeaderboards.cpp,65,20,7,2,11,0,34,166,18,102
D:\engine\proteus\source\achievements\prAchievementManager.h,191,78,47,0,49,14,64,372,16,100
D:\engine\proteus\source\achievements\prAchievement_android.h,46,11,5,0,11,1,24,131,16,100
D:\engine\proteus\source\achievements\prAchievement_bada.h,46,11,5,0,11,1,24,131,16,100
D:\engine\proteus\source\achievements\prAchievement_base.h,64,20,11,1,14,1,30,144,16,100
D:\engine\proteus\source\achievements\prAchievement_ios.h,46,11,5,0,11,1,24,131,16,100
D:\engine\proteus\source\achievements\prAchievement_linux.h,47,12,5,0,11,1,24,131,16,100
D:\engine\proteus\source\achievements\prAchievement_pc.h,46,11,5,0,11,1,24,131,16,100
D:\engine\proteus\source\achievements\prLeaderboards.h,42,10,4,0,10,1,22,131,16,100
D:\engine\proteus\source\actor\prActor.cpp,50,16,10,0,9,0,25,115,18,102
D:\engine\proteus\source\actor\prActorManager.cpp,286,180,97,31,50,0,56,217,18,102
D:\engine\proteus\source\actor\prActor.h,160,50,36,0,41,3,69,214,16,86
D:\engine\proteus\source\actor\prActorManager.h,129,29,20,0,28,1,72,252,16,86
D:\engine\proteus\source\adverts\prAdvertProvider.cpp,69,23,12,3,13,0,33,144,18,102
D:\engine\proteus\source\adverts\prAdvertProvider_AdMob.cpp,124,50,19,2,26,2,48,188,18,102
D:\engine\proteus\source\adverts\prAdvertProvider_iAds.cpp,124,50,19,2,28,2,46,187,18,102
D:\engine\proteus\source\adverts\prAdverts.cpp,138,67,33,4,29,0,42,158,18,102
D:\engine\proteus\source\adverts\prAdvertProvider.h,118,46,22,0,31,9,41,235,16,100
D:\engine\proteus\source\adverts\prAdvertProvider_AdMob.h,70,20,13,0,18,1,32,136,16,100
D:\engine\proteus\source\adverts\prAdvertProvider_iAds.h,71,21,13,0,18,1,32,136,16,100
D:\engine\proteus\source\adverts\prAdverts.h,91,28,17,0,24,3,39,159,16,100
D:\engine\proteus\source\analytics\prAnalytics.cpp,97,41,18,5,20,0,36,152,18,102
D:\engine\proteus\source\analytics\prAnalyticsBase.cpp,57,16,6,0,11,0,30,134,18,102
D:\engine\proteus\source\analytics\prAnalyticsFlurry.cpp,104,37,13,2,25,0,42,170,18,102
D:\engine\proteus\source\analytics\prAnalytics.h,64,16,10,0,17,1,31,143,16,100
D:\engine\proteus\source\analytics\prAnalyticsBase.h,51,12,7,0,11,1,28,135,16,100
D:\engine\proteus\source\analytics\prAnalyticsFlurry.h,54,13,7,0,13,1,28,131,16,100
D:\engine\proteus\source\android\prJNIInterface.cpp,1206,763,448,168,210,0,233,543,18,102
D:\engine\proteus\source\android\prJNIInterface.h,46,7,4,0,13,1,26,135,16,100
D:\engine\proteus\source\audio\prOpenALDeviceList.cpp,215,120,61,23,49,1,46,248,18,102
D:\engine\proteus\source\audio\prOpenALErrors.cpp,337,214,102,48,85,2,38,164,18,102
D:\engine\proteus\source\audio\prSoundManager.cpp,183,105,57,9,32,0,46,199,18,102
D:\engine\proteus\source\audio\prSoundManagerShared.cpp,97,48,8,1,20,0,29,133,18,102
D:\engine\proteus\source\audio\prSoundManager_Android.cpp,248,106,51,7,55,1,87,266,18,102
D:\engine\proteus\source\audio\prSoundManager_Ios.cpp,1097,695,349,112,208,1,194,567,18,102
D:\engine\proteus\source\audio\prSoundManager_PC.cpp,1364,955,486,141,260,1,149,522,18,102
D:\engine\proteus\source\audio\prWaves.cpp,512,355,194,56,87,4,70,288,19,103
D:\engine\proteus\source\audio\prOpenALDeviceList.h,79,27,16,0,22,1,30,175,16,100
D:\engine\proteus\source\audio\prOpenALErrors.h,80,42,9,3,16,2,22,118,16,100
D:\engine\proteus\source\audio\prSoundManager.h,237,66,57,0,53,1,118,455,16,100
D:\engine\proteus\source\audio\prSoundManagerShared.h,119,47,20,0,23,8,49,196,16,100
D:\engine\proteus\source\audio\prSoundManager_Android.h,167,35,25,0,39,2,93,342,16,100
D:\engine\proteus\source\audio\prSoundManager_Ios.h,167,45,33,0,39,2,83,323,16,100
D:\engine\proteus\source\audio\prSoundManager_PC.h,215,63,47,0,47,2,105,394,16,100
D:\engine\proteus\source\audio\prWaves.h,152,45,17,0,30,1,77,234,16,100
D:\engine\proteus\source\audio\external\codec.h,244,134,102,0,45,4,65,430,16,83
D:\engine\proteus\source\audio\external\ogg.h,210,136,137,0,37,12,37,297,16,85
D:\engine\proteus\source\audio\external\os_types.h,148,96,65,0,26,2,26,140,16,93
D:\engine\proteus\source\audio\external\vorbisenc.h,437,66,26,0,34,5,337,2112,21,115
D:\engine\proteus\source\audio\external\vorbisfile.h,207,125,83,4,37,7,45,384,16,87
D:\engine\proteus\source\Box2D\Box2D.h,69,31,0,0,11,0,27,182,17,154
D:\engine\proteus\source\Box2D\Collision\b2BroadPhase.cpp,126,88,52,9,18,1,20,190,17,154
D:\engine\proteus\source\Box2D\Collision\b2CollideCircle.cpp,155,113,78,9,19,0,23,187,17,154
D:\engine\proteus\source\Box2D\Collision\b2CollideEdge.cpp,699,562,386,51,83,0,54,391,17,154
D:\engine\proteus\source\Box2D\Collision\b2CollidePolygon.cpp,240,164,123,15,40,3,36,291,17,154
D:\engine\proteus\source\Box2D\Collision\b2Collision.cpp,253,179,113,33,39,0,35,248,17,154
D:\engine\proteus\source\Box2D\Collision\b2Distance.cpp,604,414,283,61,83,6,107,621,17,154
D:\engine\proteus\source\Box2D\Collision\b2DynamicTree.cpp,785,594,414,67,128,1,63,430,17,154
D:\engine\proteus\source\Box2D\Collision\b2TimeOfImpact.cpp,487,344,252,44,87,1,56,416,17,154
D:\engine\proteus\source\Box2D\Collision\b2BroadPhase.h,258,145,88,18,55,0,58,574,17,154
D:\engine\proteus\source\Box2D\Collision\b2Collision.h,278,159,99,10,42,22,77,816,17,154
D:\engine\proteus\source\Box2D\Collision\b2Distance.h,142,82,56,8,25,6,35,321,17,154
D:\engine\proteus\source\Box2D\Collision\b2DynamicTree.h,290,166,112,15,57,0,67,667,17,154
D:\engine\proteus\source\Box2D\Collision\b2TimeOfImpact.h,59,27,14,0,8,1,24,231,17,154
D:\engine\proteus\source\Box2D\Collision\Shapes\b2ChainShape.cpp,195,146,97,10,29,1,20,199,17,154
D:\engine\proteus\source\Box2D\Collision\Shapes\b2CircleShape.cpp,100,58,39,8,16,0,26,211,17,154
D:\engine\proteus\source\Box2D\Collision\Shapes\b2EdgeShape.cpp,139,90,61,13,22,0,27,239,17,154
D:\engine\proteus\source\Box2D\Collision\Shapes\b2PolygonShape.cpp,460,304,205,47,75,0,81,583,17,154
D:\engine\proteus\source\Box2D\Collision\Shapes\b2ChainShape.h,103,36,27,0,22,0,45,360,17,154
D:\engine\proteus\source\Box2D\Collision\Shapes\b2CircleShape.h,92,43,28,3,20,0,29,211,17,154
D:\engine\proteus\source\Box2D\Collision\Shapes\b2EdgeShape.h,75,31,22,0,15,0,29,225,17,154
D:\engine\proteus\source\Box2D\Collision\Shapes\b2PolygonShape.h,102,38,27,1,20,0,44,361,17,154
D:\engine\proteus\source\Box2D\Collision\Shapes\b2Shape.h,102,39,21,1,19,0,44,426,17,154
D:\engine\proteus\source\Box2D\Common\b2BlockAllocator.cpp,226,171,96,19,37,15,18,188,17,154
D:\engine\proteus\source\Box2D\Common\b2Draw.cpp,45,21,10,1,7,0,17,154,17,154
D:\engine\proteus\source\Box2D\Common\b2Math.cpp,95,60,43,6,12,0,23,212,17,154
D:\engine\proteus\source\Box2D\Common\b2Settings.cpp,45,20,11,1,6,0,19,172,17,154
D:\engine\proteus\source\Box2D\Common\b2StackAllocator.cpp,84,56,36,4,11,0,17,154,17,154
D:\engine\proteus\source\Box2D\Common\b2Timer.cpp,102,65,35,5,20,0,17,154,17,154
D:\engine\proteus\source\Box2D\Common\b2BlockAllocator.h,63,27,20,0,14,0,22,206,17,154
D:\engine\proteus\source\Box2D\Common\b2Draw.h,87,37,23,0,19,5,31,279,17,154
D:\engine\proteus\source\Box2D\Common\b2GrowableStack.h,91,59,30,5,12,1,20,200,17,154
D:\engine\proteus\source\Box2D\Common\b2Math.h,721,465,286,59,118,3,138,1157,17,154
D:\engine\proteus\source\Box2D\Common\b2Settings.h,152,50,17,0,37,3,65,610,17,154
D:\engine\proteus\source\Box2D\Common\b2StackAllocator.h,61,28,20,0,13,1,20,183,17,154
D:\engine\proteus\source\Box2D\Common\b2Timer.h,51,19,9,0,10,0,22,187,17,154
D:\engine\proteus\source\Box2D\Dynamics\b2Body.cpp,550,412,279,52,93,0,45,343,17,154
D:\engine\proteus\source\Box2D\Dynamics\b2ContactManager.cpp,297,203,132,28,47,0,47,321,17,154
D:\engine\proteus\source\Box2D\Dynamics\b2Fixture.cpp,304,233,155,24,45,0,26,211,17,154
D:\engine\proteus\source\Box2D\Dynamics\b2Island.cpp,540,303,210,33,71,0,166,1238,17,154
D:\engine\proteus\source\Box2D\Dynamics\b2World.cpp,1347,1015,642,153,222,1,110,755,17,154
D:\engine\proteus\source\Box2D\Dynamics\b2WorldCallbacks.cpp,37,13,7,3,5,0,19,181,17,154
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,861,493,313,58,165,2,203,1995,17,154
D:\engine\proteus\source\Box2D\Dynamics\b2ContactManager.h,53,23,17,0,11,0,19,159,17,154
D:\engine\proteus\source\Box2D\Dynamics\b2Fixture.h,346,185,127,16,75,0,86,810,17,154
D:\engine\proteus\source\Box2D\Dynamics\b2Island.h,94,58,41,0,18,0,18,160,17,154
D:\engine\proteus\source\Box2D\Dynamics\b2TimeStep.h,71,40,31,0,9,3,22,195,17,154
D:\engine\proteus\source\Box2D\Dynamics\b2World.h,344,161,118,15,75,0,108,1031,17,154
D:\engine\proteus\source\Box2D\Dynamics\b2WorldCallbacks.h,156,61,41,0,20,0,75,739,17,154
D:\engine\proteus\source\Box2D\Dynamics\Contacts\b2ChainAndCircleContact.cpp,54,30,14,1,7,0,17,154,17,154
D:\engine\proteus\source\Box2D\Dynamics\Contacts\b2ChainAndPolygonContact.cpp,54,30,14,1,7,0,17,154,17,154
D:\engine\proteus\source\Box2D\Dynamics\Contacts\b2CircleContact.cpp,53,29,11,1,7,0,17,154,17,154
D:\engine\proteus\source\Box2D\Dynamics\Contacts\b2Contact.cpp,248,181,114,18,43,0,24,203,17,154
D:\engine\proteus\source\Box2D\Dynamics\Contacts\b2ContactSolver.cpp,834,546,447,37,154,0,134,768,17,154
D:\engine\proteus\source\Box2D\Dynamics\Contacts\b2EdgeAndCircleContact.cpp,50,26,11,1,7,0,17,154,17,154
D:\engine\proteus\source\Box2D\Dynamics\Contacts\b2EdgeAndPolygonContact.cpp,50,26,11,1,7,0,17,154,17,154
D:\engine\proteus\source\Box2D\Dynamics\Contacts\b2PolygonAndCircleContact.cpp,50,26,11,1,7,0,17,154,17,154
D:\engine\proteus\source\Box2D\Dynamics\Contacts\b2PolygonContact.cpp,53,29,11,1,7,0,17,154,17,154
D:\engine\proteus\source\Box2D\Dynamics\Contacts\b2ChainAndCircleContact.h,40,15,8,0,8,0,17,154,17,154
D:\engine\proteus\source\Box2D\Dynamics\Contacts\b2ChainAndPolygonContact.h,40,15,8,0,8,0,17,154,17,154
D:\engine\proteus\source\Box2D\Dynamics\Contacts\b2CircleContact.h,40,15,8,0,8,0,17,154,17,154
D:\engine\proteus\source\Box2D\Dynamics\Contacts\b2Contact.h,350,212,136,18,75,4,63,604,17,154
D:\engine\proteus\source\Box2D\Dynamics\Contacts\b2ContactSolver.h,96,65,54,0,14,0,17,154,17,154
D:\engine\proteus\source\Box2D\Dynamics\Contacts\b2EdgeAndCircleContact.h,40,15,8,0,8,0,17,154,17,154
D:\engine\proteus\source\Box2D\Dynamics\Contacts\b2EdgeAndPolygonContact.h,40,15,8,0,8,0,17,154,17,154
D:\engine\proteus\source\Box2D\Dynamics\Contacts\b2PolygonAndCircleContact.h,39,14,8,0,8,0,17,154,17,154
D:\engine\proteus\source\Box2D\Dynamics\Contacts\b2PolygonContact.h,40,15,8,0,8,0,17,154,17,154
D:\engine\proteus\source\Box2D\Dynamics\Joints\b2DistanceJoint.cpp,261,179,140,10,44,0,38,301,17,154
D:\engine\proteus\source\Box2D\Dynamics\Joints\b2FrictionJoint.cpp,252,166,124,10,48,0,38,265,17,154
D:\engine\proteus\source\Box2D\Dynamics\Joints\b2GearJoint.cpp,420,317,259,14,63,0,40,283,17,154
D:\engine\proteus\source\Box2D\Dynamics\Joints\b2Joint.cpp,212,161,98,28,34,0,17,154,17,154
D:\engine\proteus\source\Box2D\Dynamics\Joints\b2MotorJoint.cpp,305,211,153,15,56,0,38,265,17,154
D:\engine\proteus\source\Box2D\Dynamics\Joints\b2MouseJoint.cpp,223,145,97,13,42,0,36,271,17,154
D:\engine\proteus\source\Box2D\Dynamics\Joints\b2PrismaticJoint.cpp,627,442,336,30,91,0,94,650,17,154
D:\engine\proteus\source\Box2D\Dynamics\Joints\b2PulleyJoint.cpp,349,253,186,19,62,0,34,272,17,154
D:\engine\proteus\source\Box2D\Dynamics\Joints\b2RevoluteJoint.cpp,503,381,276,28,78,0,44,295,17,154
D:\engine\proteus\source\Box2D\Dynamics\Joints\b2RopeJoint.cpp,242,171,131,11,43,0,28,233,17,154
D:\engine\proteus\source\Box2D\Dynamics\Joints\b2WeldJoint.cpp,329,220,180,9,68,0,41,273,17,154
D:\engine\proteus\source\Box2D\Dynamics\Joints\b2WheelJoint.cpp,420,300,232,18,78,0,42,301,17,154
D:\engine\proteus\source\Box2D\Dynamics\Joints\b2DistanceJoint.h,170,90,67,3,33,0,47,397,17,154
D:\engine\proteus\source\Box2D\Dynamics\Joints\b2FrictionJoint.h,120,59,49,0,26,0,35,284,17,154
D:\engine\proteus\source\Box2D\Dynamics\Joints\b2GearJoint.h,126,60,50,0,26,0,40,333,17,154
D:\engine\proteus\source\Box2D\Dynamics\Joints\b2Joint.h,227,133,87,7,47,4,47,474,17,154
D:\engine\proteus\source\Box2D\Dynamics\Joints\b2MotorJoint.h,134,68,58,0,28,0,38,325,17,154
D:\engine\proteus\source\Box2D\Dynamics\Joints\b2MouseJoint.h,130,59,49,0,26,0,45,366,17,154
D:\engine\proteus\source\Box2D\Dynamics\Joints\b2PrismaticJoint.h,197,97,85,1,41,0,59,523,17,154
D:\engine\proteus\source\Box2D\Dynamics\Joints\b2PulleyJoint.h,153,76,63,0,31,0,46,417,17,154
D:\engine\proteus\source\Box2D\Dynamics\Joints\b2RevoluteJoint.h,205,91,79,1,44,2,70,626,17,154
D:\engine\proteus\source\Box2D\Dynamics\Joints\b2RopeJoint.h,115,55,45,0,20,0,40,337,17,154
D:\engine\proteus\source\Box2D\Dynamics\Joints\b2WeldJoint.h,127,63,53,0,26,0,38,324,17,154
D:\engine\proteus\source\Box2D\Dynamics\Joints\b2WheelJoint.h,212,111,89,4,47,0,54,493,17,154
D:\engine\proteus\source\Box2D\Rope\b2Rope.cpp,260,194,138,18,49,0,17,154,17,154
D:\engine\proteus\source\Box2D\Rope\b2Rope.h,116,57,43,2,27,0,32,182,17,154
D:\engine\proteus\source\collision\prLine.cpp,47,18,10,7,10,0,19,113,16,100
D:\engine\proteus\source\collision\prLine.h,48,7,1,0,9,1,32,174,16,100
D:\engine\proteus\source\core\prApplication.cpp,42,11,4,0,7,0,24,114,18,102
D:\engine\proteus\source\core\prApplication_Android.cpp,271,137,73,17,44,2,90,317,18,102
D:\engine\proteus\source\core\prApplication_IOS.cpp,250,136,73,16,43,2,71,267,18,102
D:\engine\proteus\source\core\prApplication_Linux.cpp,248,148,81,21,43,1,57,214,18,102
D:\engine\proteus\source\core\prApplication_PC.cpp,594,375,214,75,110,2,109,450,18,102
D:\engine\proteus\source\core\prArgs.cpp,278,176,83,31,44,2,58,234,18,102
D:\engine\proteus\source\core\prATB.cpp,118,56,24,9,25,0,37,166,18,102
D:\engine\proteus\source\core\prBitArray.cpp,185,112,60,16,28,0,45,194,18,102
D:\engine\proteus\source\core\prCore.cpp,436,313,149,54,62,0,61,246,18,102
D:\engine\proteus\source\core\prCoreSystem.cpp,43,10,3,0,7,0,26,135,18,102
D:\engine\proteus\source\core\prMessageManager.cpp,85,36,18,3,15,0,34,155,18,102
D:\engine\proteus\source\core\prRegistry.cpp,194,114,60,16,38,0,42,191,18,102
D:\engine\proteus\source\core\prResource.cpp,56,19,11,0,10,0,27,124,18,102
D:\engine\proteus\source\core\prResourceManager.cpp,222,132,72,15,46,7,44,196,18,102
D:\engine\proteus\source\core\prString.cpp,413,245,132,26,68,0,100,306,18,102
D:\engine\proteus\source\core\prStringUtil.cpp,1199,754,428,159,248,5,197,913,18,102
D:\engine\proteus\source\core\prVersion.cpp,62,25,13,1,13,0,24,123,18,102
D:\engine\proteus\source\core\prWindow.cpp,46,15,9,0,7,0,24,114,18,102
D:\engine\proteus\source\core\prWindowProcedure.cpp,364,242,120,38,59,6,63,264,18,102
D:\engine\proteus\source\core\prWindow_Android.cpp,138,61,33,3,32,1,45,199,18,102
D:\engine\proteus\source\core\prWindow_Ios.cpp,138,61,33,3,32,1,45,199,18,102
D:\engine\proteus\source\core\prWindow_Linux.cpp,138,63,34,4,32,0,43,189,18,102
D:\engine\proteus\source\core\prWindow_PC.cpp,659,401,235,59,146,37,112,588,18,102
D:\engine\proteus\source\core\prApplication.h,137,24,17,0,26,3,87,363,16,86
D:\engine\proteus\source\core\prApplication_Android.h,91,18,7,0,21,2,52,197,16,86
D:\engine\proteus\source\core\prApplication_IOS.h,91,18,7,0,21,2,52,197,16,86
D:\engine\proteus\source\core\prApplication_Linux.h,90,18,7,0,20,2,52,197,16,86
D:\engine\proteus\source\core\prApplication_PC.h,139,29,16,0,28,2,82,339,16,86
D:\engine\proteus\source\core\prArgs.h,139,21,11,0,26,1,92,367,16,86
D:\engine\proteus\source\core\prATB.h,113,23,6,0,23,1,67,242,16,86
D:\engine\proteus\source\core\prBitArray.h,89,21,14,0,20,1,48,211,16,86
D:\engine\proteus\source\core\prContainers.h,32,8,2,0,7,1,17,104,16,86
D:\engine\proteus\source\core\prCore.h,197,50,13,0,32,4,115,453,16,86
D:\engine\proteus\source\core\prCoreSystem.h,65,16,8,0,16,3,33,157,16,86
D:\engine\proteus\source\core\prDefines.h,119,69,0,0,25,1,25,117,15,98
D:\engine\proteus\source\core\prList.h,403,160,102,10,70,4,173,875,43,223
D:\engine\proteus\source\core\prMacros.h,308,82,6,0,80,1,146,655,15,98
D:\engine\proteus\source\core\prMessage.h,106,36,24,0,18,6,52,216,16,86
D:\engine\proteus\source\core\prMessageManager.h,82,17,8,0,17,1,48,198,16,100
D:\engine\proteus\source\core\prRegistry.h,101,20,10,0,19,1,62,254,16,100
D:\engine\proteus\source\core\prResource.h,127,34,24,0,32,1,61,246,16,100
D:\engine\proteus\source\core\prResourceManager.h,194,68,38,10,33,1,93,363,16,100
D:\engine\proteus\source\core\prSingleton.h,100,52,18,6,19,3,29,159,16,86
D:\engine\proteus\source\core\prString.h,192,44,35,0,38,1,110,361,16,100
D:\engine\proteus\source\core\prStringShared.h,41,10,2,0,7,1,24,124,16,100
D:\engine\proteus\source\core\prStringUtil.h,418,41,36,0,45,1,332,1187,16,100
D:\engine\proteus\source\core\prTypes.h,141,92,77,0,24,1,25,129,15,98
D:\engine\proteus\source\core\prVersion.h,41,5,2,0,8,1,28,146,16,100
D:\engine\proteus\source\core\prVertex.h,48,15,9,0,13,1,20,113,16,100
D:\engine\proteus\source\core\prWaypoint.h,76,30,17,0,14,2,32,140,16,100
D:\engine\proteus\source\core\prWindow.h,116,27,20,0,24,8,65,268,16,86
D:\engine\proteus\source\core\prWindowProcedure.h,71,16,3,0,20,2,35,163,16,86
D:\engine\proteus\source\core\prWindow_Android.h,96,21,9,0,24,3,51,184,16,86
D:\engine\proteus\source\core\prWindow_Ios.h,95,21,9,0,24,3,50,182,16,86
D:\engine\proteus\source\core\prWindow_Linux.h,96,22,9,0,24,3,50,182,16,86
D:\engine\proteus\source\core\prWindow_PC.h,145,42,21,0,32,6,71,290,16,86
D:\engine\proteus\source\core\prList.inl,431,288,167,30,87,9,56,410,20,87
D:\engine\proteus\source\debug\prAssert.cpp,155,85,40,4,32,0,38,159,18,102
D:\engine\proteus\source\debug\prAssert_Android.cpp,139,78,40,4,28,0,33,144,18,102
D:\engine\proteus\source\debug\prAssert_Ios.cpp,138,77,40,4,28,0,33,144,18,102
D:\engine\proteus\source\debug\prAssert_Linux.cpp,124,77,40,4,28,0,19,48,3,4
D:\engine\proteus\source\debug\prConsoleWindow.cpp,198,115,59,13,43,0,40,176,18,102
D:\engine\proteus\source\debug\prDebug.cpp,137,79,21,3,33,0,25,128,18,102
D:\engine\proteus\source\debug\prFps.cpp,52,16,8,0,9,0,27,130,18,102
D:\engine\proteus\source\debug\prFps_PC.cpp,136,67,30,6,31,4,38,182,18,102
D:\engine\proteus\source\debug\prOnScreenLogger.cpp,184,108,54,15,28,0,48,188,18,102
D:\engine\proteus\source\debug\prTrace.cpp,196,111,55,11,35,5,50,246,18,102
D:\engine\proteus\source\debug\prAssert.h,187,82,18,6,39,2,66,306,16,100
D:\engine\proteus\source\debug\prConsoleWindow.h,78,21,10,0,26,2,31,158,16,100
D:\engine\proteus\source\debug\prDebug.h,81,26,2,0,22,2,33,158,16,100
D:\engine\proteus\source\debug\prDebugFont.h,17500,17482,2,0,3,0,15,98,15,98
D:\engine\proteus\source\debug\prFps.h,75,22,14,0,19,1,34,152,16,86
D:\engine\proteus\source\debug\prFps_PC.h,64,20,11,0,16,1,28,127,16,86
D:\engine\proteus\source\debug\prOnScreenLogger.h,87,23,12,0,21,1,43,166,16,86
D:\engine\proteus\source\debug\prTrace.h,87,15,5,0,16,1,56,282,16,100
D:\engine\proteus\source\display\prBackground.cpp,306,188,107,15,57,0,61,241,18,102
