Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,411,118502,79109,33439,4447,15696,1498,23697,132213,6721,44767
D:\engine\proteus\source,411,118502,79109,33439,4447,15696,1498,23697,132213,6721,44767
D:\engine\proteus\source\Box2D,93,21242,13594,9403,1226,3674,86,3974,33057,1581,14322
D:\engine\proteus\source\Box2D\Collision,22,5744,3822,2597,423,922,42,1000,8198,374,3388
D:\engine\proteus\source\Box2D\Collision\Shapes,9,1368,785,527,83,238,1,345,2815,153,1386
D:\engine\proteus\source\Box2D\Common,13,1823,1078,636,100,316,28,429,3856,221,2002
D:\engine\proteus\source\Box2D\Dynamics,55,13230,8412,5989,683,2349,16,2469,20485,935,8470
D:\engine\proteus\source\Box2D\Dynamics\Contacts,18,2171,1304,890,80,391,4,476,3885,306,2772
D:\engine\proteus\source\Box2D\Dynamics\Joints,24,6059,3908,2986,221,1102,6,1049,8462,408,3696
D:\engine\proteus\source\Box2D\Rope,2,376,251,181,20,76,0,49,336,34,308
D:\engine\proteus\source\achievements,15,2233,826,441,79,402,25,1005,3572,254,1514
D:\engine\proteus\source\actor,4,625,275,163,31,128,4,222,798,68,376
D:\engine\proteus\source\adverts,8,805,305,148,11,187,18,313,1343,136,808
D:\engine\proteus\source\analytics,6,427,135,61,7,97,3,195,865,102,606
D:\engine\proteus\source\android,2,1252,770,452,168,223,1,259,678,34,202
D:\engine\proteus\source\audio,21,6515,3525,1945,404,1244,59,1746,7987,358,2080
D:\engine\proteus\source\audio\external,5,1246,557,413,4,179,30,510,3363,85,463
D:\engine\proteus\source\collision,2,95,25,11,7,19,1,51,287,32,200
D:\engine\proteus\source\core,57,10909,5100,2716,622,2096,149,3713,15687,986,5584
D:\engine\proteus\source\debug,18,19618,18504,461,70,457,19,657,2992,292,1678
D:\engine\proteus\source\display,40,11337,6873,2761,318,1758,93,2706,11148,778,4859
D:\engine\proteus\source\file,8,2303,1305,739,140,459,53,539,2499,136,814
D:\engine\proteus\source\gui,7,1047,460,268,39,199,4,388,1419,118,706
D:\engine\proteus\source\inAppPurchase,15,1353,491,235,30,308,13,554,2304,254,1514
D:\engine\proteus\source\input,5,1330,652,395,29,248,22,430,1730,84,504
D:\engine\proteus\source\ios,2,85,16,7,0,23,2,46,245,32,200
D:\engine\proteus\source\libzip,3,594,346,173,1,122,129,126,1557,5,36
D:\engine\proteus\source\linux,3,172,60,25,6,48,3,64,349,52,300
D:\engine\proteus\source\locale,4,837,445,245,59,148,15,244,965,78,417
D:\engine\proteus\source\lua,25,3739,1832,713,1,1008,321,899,6329,124,536
D:\engine\proteus\source\math,15,2073,846,433,76,424,38,803,3188,258,1428
D:\engine\proteus\source\memory,5,917,424,231,36,183,16,310,1507,86,507
D:\engine\proteus\source\online,5,320,102,39,7,77,1,141,645,88,508
D:\engine\proteus\source\particle,4,158,32,12,0,34,2,92,457,68,404
D:\engine\proteus\source\persistence,16,3493,1965,1098,240,699,18,829,3224,272,1616
D:\engine\proteus\source\thread,3,214,89,27,1,55,2,70,318,34,210
D:\engine\proteus\source\tinyxml,6,5736,3675,2231,693,858,154,1203,8762,136,833
D:\engine\proteus\source\tool,1,379,278,105,0,51,30,50,389,17,62
D:\engine\proteus\source\utf8proc,3,14359,14005,5966,134,64,0,290,2310,124,976
D:\engine\proteus\source\util,2,209,164,92,11,35,2,10,22,0,0
D:\engine\proteus\source\zlib,10,3746,1751,1842,1,306,192,1689,15138,104,771
