File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
D:\engine\proteus\source\achievements\prAchievementManager.cpp,GetAchievementState(s32 state),10,9,7,2,1,0,0,0,
D:\engine\proteus\source\achievements\prAchievementManager.cpp,prAchievementManager::prAchievementManager(const char *folder),1,1,1,0,0,0,0,0,
D:\engine\proteus\source\achievements\prAchievementManager.cpp,prAchievementManager::~prAchievementManager(),2,2,2,0,0,0,0,0,
D:\engine\proteus\source\achievements\prAchievementManager.cpp,prAchievementManager::Update(f32 dt),13,9,5,1,4,0,0,0,
D:\engine\proteus\source\achievements\prAchievementManager.cpp,prAchievementManager::Render(),13,9,5,1,4,0,0,0,
D:\engine\proteus\source\achievements\prAchievementManager.cpp,"prAchievementManager::Award(const char *key, s32 awardValue)",76,37,19,9,9,0,30,63,
D:\engine\proteus\source\achievements\prAchievementManager.cpp,prAchievementManager::IsAwarded(const char *key),34,26,15,7,8,0,0,0,
D:\engine\proteus\source\achievements\prAchievementManager.cpp,prAchievementManager::Load(const char *filename),94,20,10,3,6,0,68,165,
D:\engine\proteus\source\achievements\prAchievementManager.cpp,prAchievementManager::Save(),3,3,3,0,0,0,0,0,
D:\engine\proteus\source\achievements\prAchievementManager.cpp,prAchievementManager::SetRender(bool state),3,3,3,0,0,0,0,0,
D:\engine\proteus\source\achievements\prAchievementManager.cpp,"prAchievementManager::GetDescriptionText(const char *name, s32 type)",32,26,15,8,6,0,0,0,
D:\engine\proteus\source\achievements\prAchievementManager.cpp,"prAchievementManager::GetDescriptionTextByIndex(u32 index, s32 type)",26,21,12,7,5,0,0,0,
D:\engine\proteus\source\achievements\prAchievementManager.cpp,prAchievementManager::SetNotificationPosition(u32 pos),15,3,3,0,1,0,11,19,
D:\engine\proteus\source\achievements\prAchievementManager.cpp,prAchievementManager::GetCount(),3,3,3,1,0,0,0,0,
D:\engine\proteus\source\achievements\prAchievementManager.cpp,prAchievementManager::GetNameByIndex(u32 index),15,12,8,4,3,0,0,0,
D:\engine\proteus\source\achievements\prAchievementManager.cpp,prAchievementManager::SetNotificationBar(prSprite *bar),11,3,3,0,0,0,8,20,
D:\engine\proteus\source\achievements\prAchievementManager.cpp,"prAchievementManager::SetNotificationBarPos(s32 x, s32 y)",3,3,3,0,0,0,0,0,
D:\engine\proteus\source\achievements\prAchievementManager.cpp,"prAchievementManager::SetNotificationBarFont(prBitmapFont *font, float width, float scale)",6,6,6,0,0,0,0,0,
D:\engine\proteus\source\achievements\prAchievementManager.cpp,prAchievementManager::SetLanguage(prLanguage *language),3,3,3,0,0,0,0,0,
D:\engine\proteus\source\achievements\prAchievementManager.cpp,"prAchievementManager::Achieved(s32 value, s32 testValue, s32 type)",12,9,7,2,3,1,0,9,
D:\engine\proteus\source\achievements\prAchievementManager.cpp,prAchievementManager::SetTextColour(const prColour &c),2,2,2,0,0,0,0,0,
D:\engine\proteus\source\achievements\prAchievementManager.cpp,prAchievementManager::Enable(bool state),2,2,2,0,0,0,0,0,
D:\engine\proteus\source\achievements\prAchievement_android.cpp,"prAchievement_Android::Award(const char *name, s32 id)",7,5,3,1,1,0,1,1,
